Project_ID,Client_ID,Project_Name,Service_Type,Start_Date,Planned_End_Date,Actual_End_Date,Project_Status,Project_Value,Project_Cost,Priority,Project_Manager_ID
P0192,C0079,Custom Software - FusionWorks Initiative 192,Custom Software,2025-09-04,2025-11-20,2025-12-19,Delayed,435000,261000,High,E0074
P0193,C0057,Custom Software - VertexGroup Initiative 193,Custom Software,2025-03-01,2025-07-04,2025-07-04,Completed,1424000,1041000,Medium,E0119
P0194,C0137,Software Testing - NexaTech Initiative 194,Software Testing,2026-02-02,2026-04-25,2026-05-21,Delayed,393000,301000,Critical,E0076
P0195,C0035,Application Maintenance - FusionLabs Initiative 195,Application Maintenance,2025-03-22,2025-08-04,2025-08-07,Completed,171000,118000,Medium,E0106
P0196,C0131,Data Analytics - BluePeakDigital Initiative 196,Data Analytics,2026-07-03,2026-09-09,Null,In Progress,768000,646000,Medium,E0017
P0197,C0035,Power BI Development - FusionLabs Initiative 197,Power BI Development,2026-01-22,2026-02-21,2026-04-27,Delayed,449000,275000,Critical,E0059
P0198,C0126,IT Support - ApexDigital Initiative 198,IT Support,2026-07-27,2026-10-10,2026-10-10,Completed,395000,278000,High,E0134
P0199,C0083,IT Support - BluePeakLabs Initiative 199,IT Support,2025-12-07,2026-03-14,2026-03-21,Completed,107000,71000,High,E0017
P0200,C0137,IT Support - NexaTech Initiative 200,IT Support,2025-07-14,2025-09-02,2025-09-02,Completed,181000,116000,High,E0134
P0201,C0114,IT Support - NovaSystems Initiative 201,IT Support,2025-07-29,2025-11-27,2025-11-27,Completed,89000,75000,Medium,E0076
P0202,C0159,Application Maintenance - BrightGroup Initiative 202,Application Maintenance,2025-10-17,2026-02-11,2026-03-22,Delayed,276000,210000,Medium,E0136
P0203,C0087,Application Maintenance - VertexLabs Initiative 203,Application Maintenance,2025-11-12,2026-02-06,2026-02-21,Completed,237000,130000,High,E0106
P0204,C0108,Custom Software - UrbanTech Initiative 204,Custom Software,2026-04-23,2026-06-07,Null,In Progress,644000,442000,Medium,E0134
P0205,C0058,Application Maintenance - BluePeakGroup Initiative 205,Application Maintenance,2025-07-28,2025-11-19,Null,In Progress,399000,231000,Medium,E0106
P0206,C0104,Cloud Services - NexaTech Initiative 206,Cloud Services,2025-02-16,2025-05-03,2025-06-29,Delayed,174000,145000,High,E0074
P0207,C0029,Software Development - UrbanSolutions Initiative 207,Software Development,2025-09-25,2026-01-29,2026-02-26,Delayed,681000,515000,Medium,E0074
P0208,C0028,IT Support - FinSolutions Initiative 208,IT Support,2025-12-04,2026-02-20,Null,Cancelled,173000,119000,Medium,E0119
P0209,C0020,IT Support - GreenLabs Initiative 209,IT Support,2026-05-27,2026-09-10,2026-09-17,Completed,246000,154000,Low,E0088
P0210,C0133,Custom Software - UrbanWorks Initiative 210,Custom Software,2026-05-18,2026-10-02,Null,Cancelled,630000,433000,Low,E0074
P0211,C0006,Application Maintenance - PrimeWorks Initiative 211,Application Maintenance,2025-06-23,2025-08-17,Null,In Progress,151000,118000,Medium,E0136
P0212,C0088,Custom Software - UrbanTech Initiative 212,Custom Software,2025-07-08,2025-08-12,2025-09-24,Delayed,659000,484000,Medium,E0017
P0213,C0158,Data Analytics - ApexLabs Initiative 213,Data Analytics,2025-02-19,2025-03-12,Null,In Progress,1124000,544000,Low,E0119
P0214,C0028,Software Testing - FinSolutions Initiative 214,Software Testing,2025-08-25,2025-10-01,2025-10-01,Completed,144000,109000,High,E0074
P0215,C0075,Software Development - GreenDigital Initiative 215,Software Development,2025-08-12,2026-01-08,2026-01-23,Completed,1936000,970000,High,E0134
P0216,C0062,Application Maintenance - ApexIndustries Initiative 216,Application Maintenance,2025-03-03,2025-07-24,2025-07-24,Completed,629000,368000,Critical,E0134
P0217,C0133,Software Development - UrbanWorks Initiative 217,Software Development,2025-01-07,2025-05-12,2025-05-15,Completed,841000,439000,High,E0017
P0218,C0097,Software Development - BluePeakSolutions Initiative 218,Software Development,2026-06-27,2026-09-25,2026-09-28,Completed,590000,343000,Critical,E0136
P0219,C0037,Power BI Development - FusionLabs Initiative 219,Power BI Development,2025-01-18,2025-06-15,2025-06-18,Completed,267000,158000,High,E0119
P0220,C0047,Software Testing - BrightDigital Initiative 220,Software Testing,2025-04-20,2025-06-03,Null,In Progress,937000,701000,Medium,E0136
P0221,C0123,Software Testing - NexaWorks Initiative 221,Software Testing,2025-09-04,2025-11-12,2025-11-27,Completed,242000,125000,High,E0147
P0222,C0101,Power BI Development - BrightIndustries Initiative 222,Power BI Development,2025-12-29,2026-03-27,Null,In Progress,956000,464000,Medium,E0119
P0223,C0024,Data Analytics - UrbanTech Initiative 223,Data Analytics,2026-01-18,2026-05-21,Null,In Progress,613000,338000,Critical,E0134
P0224,C0139,IT Support - FinDigital Initiative 224,IT Support,2025-08-20,2025-11-24,2025-11-24,Completed,341000,219000,High,E0059
P0225,C0174,Software Development - FinSystems Initiative 225,Software Development,2025-04-06,2025-08-07,Null,In Progress,738000,422000,Low,E0119
P0226,C0097,Cloud Services - BluePeakSolutions Initiative 226,Cloud Services,2026-07-20,2026-12-08,2026-12-08,Completed,496000,289000,Medium,E0017
P0227,C0166,Software Development - CloudLabs Initiative 227,Software Development,2025-06-25,2025-08-05,2025-09-15,Delayed,981000,825000,High,E0119
P0228,C0031,Application Maintenance - FinWorks Initiative 228,Application Maintenance,2026-08-03,2026-09-16,Null,In Progress,608000,462000,Low,E0136
P0229,C0137,Software Development - NexaTech Initiative 229,Software Development,2025-08-24,2025-11-06,2025-11-21,Completed,1590000,925000,High,E0147
P0230,C0043,Custom Software - ApexWorks Initiative 230,Custom Software,2025-10-05,2025-11-05,Null,In Progress,759000,491000,Critical,E0059
P0231,C0094,Power BI Development - CoreIndustries Initiative 231,power bi development,2026-07-11,2026-08-08,2026-08-08,Completed,865000,422000,Low,E0074
P0232,C0051,Application Maintenance - CloudWorks Initiative 232,Application Maintenance,2025-01-17,2025-03-31,2025-03-31,Completed,320000,185000,Low,E0147
P0233,C0099,Software Testing - BrightWorks Initiative 233,Software Testing,2026-02-12,2026-03-23,2026-03-23,Completed,253000,187000,Medium,E0088
P0234,C0158,Software Testing - ApexLabs Initiative 234,Software Testing,2026-08-01,2026-10-21,2026-11-05,Completed,721000,562000,Critical,E0147
P0235,C0137,Cloud Services - NexaTech Initiative 235,Cloud Services,2026-07-08,2026-10-20,2026-10-20,Completed,680000,552000,Medium,E0119
P0236,C0060,Software Testing - BluePeakEnterprises Initiative 236,Software Testing,2025-03-22,2025-08-17,2025-08-20,Completed,347000,265000,Medium,E0106
P0237,C0124,Software Development - CoreSolutions Initiative 237,Software Development,2025-04-11,2025-08-20,2025-08-20,Completed,775000,406000,High,E0076
P0238,C0007,Data Analytics - BluePeakLabs Initiative 238,Data Analytics,2025-12-15,2026-04-15,2026-04-15,Completed,1237000,760000,Medium,E0106
P0239,C0018,Software Development - NexaIndustries Initiative 239,Software Development,2025-10-07,2026-02-19,2026-03-16,Completed,980000,557000,High,E0134
P0240,C0151,IT Support - GreenEnterprises Initiative 240,IT Support,2025-12-31,2026-04-26,2026-04-26,Completed,581000,316000,High,E0119
P0241,C0094,Software Testing - CoreIndustries Initiative 241,Software Testing,2026-08-23,2026-12-18,2026-12-18,Completed,969000,508000,High,E0059
P0242,C0050,Power BI Development - VertexLabs Initiative 242,Power BI Development,2025-09-10,2025-10-18,2025-11-02,Delayed,296000,144000,Low,E0088
P0243,C0088,Software Testing - UrbanTech Initiative 243,Software Testing,2026-01-25,2026-03-25,2026-03-28,Completed,269000,155000,Medium,E0119
P0244,C0142,Application Maintenance - BluePeakSolutions Initiative 244,application maintenance,2026-01-05,2026-02-21,2026-02-28,Completed,229000,149000,High,E0059
P0245,C0127,Software Development - UrbanLabs Initiative 245,Software Development,2025-11-12,2026-03-25,2026-03-25,Completed,1551000,1275000,High,E0106
P0246,C0110,Power BI Development - VertexIndustries Initiative 246,Power BI Development,2025-04-15,2025-06-07,2025-06-22,Delayed,150000,93000,Medium,E0074
P0247,C0180,Cloud Services - ApexSystems Initiative 247,Cloud Services,2026-04-05,2026-08-07,2026-08-07,Completed,459000,281000,Medium,E0059
P0248,C0016,Software Development - PrimeIndustries Initiative 248,Software Development,2025-04-02,2025-07-21,2025-09-04,Delayed,1183000,570000,High,E0059
P0249,C0001,Application Maintenance - FusionWorks Initiative 249,Application Maintenance,2026-01-30,2026-02-22,Null,In Progress,382000,296000,High,E0088
P0250,C0030,Cloud Services - BrightSystems Initiative 250,Cloud Services,2026-02-02,2026-03-15,2026-05-10,Delayed,1223000,677000,High,E0136
P0251,C0138,IT Support - FusionEnterprises Initiative 251,IT Support,2026-08-09,2026-10-11,Null,In Progress,653000,534000,High,E0119
P0252,C0035,Software Testing - FusionLabs Initiative 252,Software Testing,2025-05-23,2025-08-19,2025-08-19,Completed,254000,145000,High,E0088
P0253,C0120,Power BI Development - ZenithWorks Initiative 253,Power BI Development,2026-05-20,2026-07-16,2026-07-30,Delayed,172000,107000,High,E0074
P0254,C0175,Cloud Services - ApexDigital Initiative 254,Cloud Services,2025-10-10,2026-02-14,2026-02-14,Completed,359000,216000,High,E0088
P0255,C0003,Custom Software - CloudDigital Initiative 255,Custom Software,2025-03-20,2025-07-10,2025-08-05,Delayed,2008000,1585000,High,E0076
P0256,C0091,Custom Software - FusionEnterprises Initiative 256,Custom Software,2025-07-20,2025-12-04,2025-12-19,Completed,1563000,904000,Medium,E0059
P0257,C0070,Software Testing - OrbitGroup Initiative 257,Software Testing,2025-11-08,2025-11-29,2026-02-07,Delayed,286000,234000,Medium,E0119
P0258,C0108,Application Maintenance - UrbanTech Initiative 258,Application Maintenance,2026-01-25,2026-05-09,2026-06-03,Completed,269000,135000,Medium,E0134
P0259,C0019,Application Maintenance - ZenithGroup Initiative 259,Application Maintenance,2026-03-17,2026-05-10,2026-05-10,Completed,481000,275000,Medium,E0088
P0260,C0096,Application Maintenance - CloudEnterprises Initiative 260,Application Maintenance,2025-07-25,2025-12-14,2025-12-21,Completed,404000,229000,High,E0106
P0261,C0121,Software Testing - PrimeSolutions Initiative 261,Software Testing,2026-02-12,2026-05-24,Null,In Progress,226000,156000,High,E0088
P0262,C0100,Custom Software - PrimeTech Initiative 262,Custom Software,2026-08-13,2026-11-03,2026-11-06,Completed,3331000,2091000,Critical,E0106
P0263,C0074,Cloud Services - NexaEnterprises Initiative 263,Cloud Services,2025-10-15,2026-02-12,Null,Cancelled,462000,396000,High,E0106
P0264,C0051,Data Analytics - CloudWorks Initiative 264,Data Analytics,2026-08-01,2026-10-11,2026-10-26,Completed,298000,219000,Medium,E0147
P0265,C0072,Software Testing - BrightSolutions Initiative 265,Software Testing,2026-07-18,2026-08-13,2026-08-16,Completed,259000,151000,Medium,E0134
P0266,C0155,IT Support - BluePeakSystems Initiative 266,IT Support,2026-03-25,2026-06-27,2026-08-29,Delayed,319000,155000,High,E0059
P0267,C0180,Cloud Services - ApexSystems Initiative 267,cloud services,2026-05-27,2026-07-21,2026-07-21,Completed,671000,458000,Medium,E0088
P0268,C0042,IT Support - CloudGroup Initiative 268,it support,2025-09-16,2025-11-14,2025-11-14,Completed,293000,146000,Low,E0119
P0269,C0046,Cloud Services - NovaWorks Initiative 269,Cloud Services,2025-03-17,2025-07-29,2025-09-15,Delayed,1926000,1079000,High,E0134
P0270,C0168,Cloud Services - NovaEnterprises Initiative 270,Cloud Services,2026-07-02,2026-11-28,2026-12-05,Completed,1027000,872000,Low,E0119
P0271,C0010,Software Development - ZenithWorks Initiative 271,Software Development,2026-01-04,2026-02-14,2026-03-02,Delayed,906000,728000,Low,E0076
P0272,C0089,Application Maintenance - BluePeakSystems Initiative 272,Application Maintenance,2025-06-20,2025-07-21,2025-07-21,Completed,349000,180000,Critical,E0147
P0273,C0165,Cloud Services - BluePeakEnterprises Initiative 273,Cloud Services,2025-12-06,2026-04-15,2026-04-15,Completed,459000,359000,Medium,E0059
P0274,C0160,Software Development - VertexEnterprises Initiative 274,Software Development,2025-04-11,2025-07-06,2025-07-30,Delayed,532000,324000,Medium,E0136
P0275,C0062,IT Support - ApexIndustries Initiative 275,IT Support,2026-04-02,2026-07-26,2026-07-29,Completed,336000,263000,Medium,E0119
P0276,C0024,Custom Software - UrbanTech Initiative 276,Custom Software,2026-05-28,2026-07-25,2026-08-26,Delayed,668000,398000,Low,E0017
P0277,C0005,Custom Software - FinDigital Initiative 277,Custom Software,2025-04-18,2025-07-22,2025-08-27,Delayed,762000,558000,High,E0059
P0278,C0080,Data Analytics - BrightWorks Initiative 278,Data Analytics,2025-05-26,2025-09-12,2025-09-15,Completed,635000,351000,Medium,E0088
P0279,C0099,Application Maintenance - BrightWorks Initiative 279,Application Maintenance,2026-04-12,2026-06-23,2026-06-23,Completed,230000,145000,High,E0136
P0280,C0054,Custom Software - CloudSolutions Initiative 280,Custom Software,2025-12-23,2026-05-13,Null,In Progress,1519000,1011000,Medium,E0059
P0281,C0092,Custom Software - OrbitSystems Initiative 281,Custom Software,2026-04-09,2026-07-19,2026-07-19,Completed,1215000,846000,Medium,E0059
P0282,C0086,Power BI Development - CoreIndustries Initiative 282,Power BI Development,2025-02-15,2025-04-05,2025-04-12,Completed,667000,356000,Medium,E0017
P0283,C0048,Application Maintenance - CloudDigital Initiative 283,Application Maintenance,2025-04-22,2025-06-23,Null,In Progress,259000,141000,Medium,E0076
P0284,C0031,Software Testing - FinWorks Initiative 284,Software Testing,2026-07-20,2026-09-18,2026-09-18,Completed,586000,448000,Medium,E0106
P0285,C0093,Cloud Services - ZenithEnterprises Initiative 285,Cloud Services,2026-04-19,2026-07-07,2026-07-07,Completed,850000,502000,High,E0119
P0286,C0031,Software Testing - FinWorks Initiative 286,Software Testing,2025-07-10,2025-11-17,Null,Cancelled,162000,114000,High,E0119
P0287,C0051,Software Development - CloudWorks Initiative 287,Software Development,2025-07-22,2025-12-04,2025-12-04,Completed,293000,163000,High,E0147
P0288,C0152,Cloud Services - NovaDigital Initiative 288,Cloud Services,2026-02-03,2026-02-24,2026-04-20,Delayed,855000,552000,Medium,E0076
P0289,C0007,IT Support - BluePeakLabs Initiative 289,IT Support,2025-10-13,2025-11-18,2025-11-21,Completed,261000,197000,Medium,E0147
P0290,C0014,Data Analytics - NexaLabs Initiative 290,Data Analytics,2026-07-04,2026-09-09,2026-09-12,Completed,535000,413000,Medium,E0106
P0291,C0072,Application Maintenance - BrightSolutions Initiative 291,Application Maintenance,2025-07-21,2025-12-05,Null,In Progress,157000,124000,High,E0059
P0292,C0010,Power BI Development - ZenithWorks Initiative 292,Power BI Development,2026-05-17,2026-08-25,Null,In Progress,538000,312000,High,E0147
P0293,C0009,Cloud Services - ZenithDigital Initiative 293,Cloud Services,2026-02-06,2026-03-27,2026-03-27,Completed,610000,464000,Critical,E0106
P0294,C0153,Application Maintenance - OrbitEnterprises Initiative 294,Application Maintenance,2026-04-14,2026-06-17,2026-06-17,Completed,180000,116000,High,E0088
P0295,C0026,Data Analytics - FinIndustries Initiative 295,Data Analytics,2025-05-18,2025-08-26,2025-08-26,Completed,449000,226000,Medium,E0059
P0296,C0149,IT Support - BrightTech Initiative 296,IT Support,2025-11-09,2025-12-28,Null,In Progress,332000,242000,High,E0074
P0297,C0021,Application Maintenance - BrightTech Initiative 297,Application Maintenance,2025-05-25,2025-10-22,2025-10-22,Completed,293000,146000,High,E0119
P0298,C0138,Cloud Services - FusionEnterprises Initiative 298,Cloud Services,2025-05-22,2025-09-17,2025-09-17,Completed,1262000,937000,Medium,E0119
P0299,C0020,Software Testing - GreenLabs Initiative 299,Software Testing,2026-05-14,2026-07-17,Null,In Progress,452000,343000,Medium,E0136
P0300,C0049,Software Testing - FinWorks Initiative 300,Software Testing,2026-05-17,2026-08-18,Null,In Progress,436000,266000,High,E0074
P0301,C0047,Software Testing - BrightDigital Initiative 301,Software Testing,2025-11-19,2026-04-03,2026-04-03,Completed,966000,793000,Low,E0147
P0302,C0119,Software Development - CloudDigital Initiative 302,Software Development,2026-01-03,2026-01-25,2026-01-25,Completed,1768000,1507000,Medium,E0134
P0303,C0069,Software Testing - ApexEnterprises Initiative 303,Software Testing,2025-07-19,2025-11-14,2025-11-17,Completed,282000,146000,Medium,E0136
P0304,C0045,Custom Software - ZenithWorks Initiative 304,Custom Software,2026-02-23,2026-07-18,2026-07-18,Completed,2934000,1795000,High,E0119
P0305,C0047,Custom Software - BrightDigital Initiative 305,Custom Software,2026-05-16,2026-07-17,2026-07-24,Completed,2402000,1680000,High,E0059
P0306,C0118,Software Development - GreenLabs Initiative 306,Software Development,2025-08-14,2025-11-16,2025-11-16,Completed,445000,227000,High,E0017
P0307,C0092,Power BI Development - OrbitSystems Initiative 307,Power BI Development,2025-08-19,2025-11-20,2025-11-20,Completed,346000,216000,Critical,E0074
P0308,C0022,Custom Software - CloudEnterprises Initiative 308,Custom Software,2026-08-03,2026-12-27,2026-12-30,Completed,903000,573000,Critical,E0136
P0309,C0146,Data Analytics - UrbanWorks Initiative 309,Data Analytics,2026-08-10,2026-09-28,Null,In Progress,1045000,547000,Critical,E0088
P0310,C0156,Application Maintenance - FusionEnterprises Initiative 310,Application Maintenance,2026-07-10,2026-08-09,Null,In Progress,242000,191000,Medium,E0134
P0311,C0055,IT Support - NexaGroup Initiative 311,IT Support,2026-03-12,2026-04-27,Null,In Progress,117000,86000,Low,E0076
P0312,C0036,Power BI Development - CoreLabs Initiative 312,Power BI Development,2025-02-03,2025-06-18,2025-07-14,Delayed,834000,453000,Medium,E0106
P0313,C0022,Data Analytics - CloudEnterprises Initiative 313,Data Analytics,2026-03-26,2026-05-15,2026-07-13,Delayed,414000,233000,Critical,E0076
P0314,C0133,IT Support - UrbanWorks Initiative 314,IT Support,2025-12-26,2026-05-04,2026-05-07,Completed,131000,96000,High,E0074
P0315,C0011,Software Testing - BrightLabs Initiative 315,Software Testing,2025-07-31,2025-10-11,2025-10-26,Completed,697000,448000,Medium,E0017
P0316,C0076,Application Maintenance - PrimeSystems Initiative 316,Application Maintenance,2026-06-30,2026-09-29,2026-09-29,Completed,93000,46000,Critical,E0147
P0317,C0074,Software Testing - NexaEnterprises Initiative 317,Software Testing,2025-11-28,2026-03-02,2026-03-30,Delayed,347000,255000,Critical,E0147
P0318,C0157,Power BI Development - VertexDigital Initiative 318,Power BI Development,2026-06-11,2026-07-25,Null,In Progress,868000,634000,Medium,E0074
P0319,C0080,Cloud Services - BrightWorks Initiative 319,Cloud Services,2025-03-02,2025-05-31,Null,In Progress,612000,365000,Medium,E0074
P0320,C0179,Software Testing - PrimeEnterprises Initiative 320,Software Testing,2025-09-13,2025-11-09,Null,In Progress,193000,93000,High,E0106
P0321,C0115,IT Support - ApexGroup Initiative 321,IT Support,2026-02-07,2026-07-02,2026-07-02,Completed,206000,175000,High,E0074
P0322,C0167,Power BI Development - GreenSolutions Initiative 322,Power BI Development,2026-03-01,2026-06-25,Null,In Progress,296000,145000,Low,E0134
P0323,C0056,Data Analytics - CloudIndustries Initiative 323,Data Analytics,2025-04-06,2025-08-07,Null,Cancelled,741000,467000,Medium,E0136
P0324,C0098,Power BI Development - FusionGroup Initiative 324,Power BI Development,2026-01-13,2026-05-29,2026-06-05,Completed,319000,159000,High,E0134
P0325,C0137,Application Maintenance - NexaTech Initiative 325,Application Maintenance,2026-08-19,2026-09-08,2026-09-08,Completed,156000,80000,High,E0059
P0326,C0047,Custom Software - BrightDigital Initiative 326,Custom Software,2026-01-02,2026-02-07,2026-02-07,Completed,565000,342000,Medium,E0136
P0327,C0180,Cloud Services - ApexSystems Initiative 327,Cloud Services,2025-08-12,2025-12-19,2025-12-19,Completed,557000,298000,Medium,E0076
P0328,C0151,Custom Software - GreenEnterprises Initiative 328,Custom Software,2025-10-02,2026-01-12,2026-01-27,Completed,2020000,1462000,High,E0088
P0329,C0062,Application Maintenance - ApexIndustries Initiative 329,Application Maintenance,2026-07-15,2026-09-06,2026-10-22,Delayed,593000,436000,High,E0134
P0330,C0167,Application Maintenance - GreenSolutions Initiative 330,Application Maintenance,2025-02-19,2025-03-22,2025-04-16,Completed,438000,255000,Medium,E0059
P0331,C0056,Custom Software - CloudIndustries Initiative 331,Custom Software,2025-01-17,2025-03-09,2025-05-17,Delayed,1302000,910000,Medium,E0074
P0332,C0072,Custom Software - BrightSolutions Initiative 332,Custom Software,2026-04-13,2026-05-03,2026-05-18,Completed,860000,690000,High,E0119
P0333,C0140,IT Support - NovaSolutions Initiative 333,IT Support,2025-05-16,2025-08-21,2025-09-05,Completed,160000,126000,Critical,E0074
P0334,C0162,Power BI Development - VertexSystems Initiative 334,Power BI Development,2025-04-06,2025-07-27,Null,In Progress,938000,565000,Medium,E0088
P0335,C0042,Data Analytics - CloudGroup Initiative 335,Data Analytics,2026-01-16,2026-03-19,Null,In Progress,1332000,779000,Medium,E0017
P0336,C0090,Cloud Services - ApexSystems Initiative 336,Cloud Services,2025-11-09,2026-01-27,2026-01-30,Completed,733000,588000,Medium,E0119
P0337,C0055,Data Analytics - NexaGroup Initiative 337,Data Analytics,2025-04-08,2025-04-28,2025-04-28,Completed,260000,126000,Low,E0076
P0338,C0167,Custom Software - GreenSolutions Initiative 338,Custom Software,2025-03-21,2025-05-13,2025-05-28,Completed,1533000,1298000,Medium,E0147
P0339,C0115,IT Support - ApexGroup Initiative 339,IT Support,2026-06-16,2026-10-27,2026-11-11,Completed,191000,135000,Medium,E0017
P0340,C0074,Software Development - NexaEnterprises Initiative 340,Software Development,2025-12-18,2026-02-06,Null,In Progress,623000,486000,High,E0119
P0341,C0006,Software Testing - PrimeWorks Initiative 341,Software Testing,2026-05-05,2026-06-12,Null,In Progress,186000,104000,High,E0076
P0342,C0022,Cloud Services - CloudEnterprises Initiative 342,Cloud Services,2025-04-02,2025-05-18,2025-05-18,Completed,682000,416000,High,E0059
P0343,C0079,Application Maintenance - FusionWorks Initiative 343,Application Maintenance,2026-01-12,2026-04-18,2026-05-06,Delayed,244000,184000,Low,E0119
P0344,C0005,Software Testing - FinDigital Initiative 344,Software Testing,2025-05-27,2025-07-03,Null,Cancelled,227000,182000,Medium,E0136
P0345,C0143,Software Development - NovaSolutions Initiative 345,Software Development,2025-06-18,2025-10-28,2025-10-28,Completed,1741000,1237000,Low,E0106
P0346,C0114,IT Support - NovaSystems Initiative 346,IT Support,2025-06-05,2025-10-08,Null,Cancelled,257000,208000,Medium,E0147
P0347,C0054,Custom Software - CloudSolutions Initiative 347,Custom Software,2025-08-11,2025-09-22,Null,In Progress,307000,225000,Medium,E0059
P0348,C0161,Software Testing - OrbitSystems Initiative 348,Software Testing,2025-05-07,2025-09-02,2025-10-04,Delayed,290000,222000,Medium,E0119
P0349,C0053,Application Maintenance - GreenDigital Initiative 349,Application Maintenance,2025-05-24,2025-08-15,2025-08-18,Completed,886000,521000,High,E0088
P0350,C0066,Data Analytics - NovaSystems Initiative 350,Data Analytics,2025-09-12,2025-12-13,2025-12-13,Completed,773000,530000,Low,E0017
